BIBTEXKEY,AUTHOR,YEAR
Thambiah2007,"Thambiah, Shanthi",2007
Grimes1991,"Grimes, Charles E.",1991
Wolff1972,"Wolff, John Ulrich",1972
Preissig1918,"von Preissig, Edward R.",1918
Sudarsono2002,"Sudarsono, P. D.",2002
Atchison1995,"Atchison, Martin B.",1995
Josselin1947,"de Josselin de Jong, Jan Petrus Benjamin",1947
Verheijen1986,"Verheijen, Jilis A. J.",1986
Hudson1967,"Hudson, Alfred B.",1967
Goudswaard2005,"Goudswaard, Nelleke",2005
ElbertND,"Elbert, Samuel H.",no date
Yamada1966,"Yamada, Yukihiro",1966
Afable1989,"Afable, Patricia Okubo",1989
Fitzsimons1989,"Fitzsimons, Matthew",1989
senft1986,"Senft, Gunter",1986
Fingleton1986,"Fingleton, J. S.",1986
NishiyamaKelen2007,"Nishiyama, Kunio and Kelen, Herman",2007
Vandermark2007,"Van Der Mark, Sheena",2007
Elkins1968,"Elkins, Richard E.",1968
Kerr1988,"Kerr, Harland B.",1988
ChowningGoodenough2016,"Chowning, Ann and Goodenough, Ward H.",2016
Lawrence1933,"Lawrence, A. E.",1933
Odango2015,"Odango, Emerson Lopez",2015
CodringtonPalmer1896,"Codrington, Robert and Palmer, Jim",1896
Brownie2007,"Brownie, John and Brownie, Marjo",2007
Vaa2013,"Vaa, Anders",2013
Ross2002,"Ross, Malcolm",2002
Musgrave2007,"Musgrave, Jill",2007
Egli1990,"Egli, Hans",1990
Walleser1913,"Walleser, Salvator",1913
DuheDuhe1996,"Duhé, Dale and Duhé, Linda",1996
Rayner1923,"Rayner, Ernest Adolphus",1923
Donohue2000,"Donohue, Mark",2000
Capell1969,"Capell, Arthur",1969
WaterhouseJones1949,"Waterhouse, J. H. L. and Jones, L. M.",1949
Mellow2014,"Mellow, Greg",2014
Roddy2007,"Roddy, Kevin M.",2007
Fricke2014,"Fricke, Hanna",2014
s:Capell:Sikayana,"Capell, Arthur","1935, 1936, 1936, 1936, 1937"
hvw:Taber:SWMaluku,"Taber, Mark",1993
numbamiwebsite,,
samawebsite,,
amangaluiwebsite,,
tonseawebsite,,
tungagwebsite,,
dursun2020,"Dursun, Sıdıka",2020
Nehrbass2012,"Nehrbass, Kenneth",2012
Scebold2003,"Scebold, Robert A.",2003
Blust2003Thao,"Blust, Robert",2003
SmithCrowley1986,"Smith Crowley, Susan",1986
NaessHovdhaugen2011,"Næss, Åshild and Hovdhaugen, Even",2011
vandenberg2006,"van den Berg, René and Bachet, Peter",2006
endelc2015,"Kurupel, Warama and Lindsey, Kate",2015-2017
Crowley2006,"Crowley, Terry",2006
Barbour2009,"Barbour, Julie Renee",2009
vonPrince2015,"von Prince, Kilu",2015
Paton1973,"Paton, W. F.",1973
Crowley2006Tape,"Crowley, Terry",2006
Thompson1988,"Thompson, David A.",1988
Gaby2006,"Gaby, Alice Rose",2006
Francois2001,"François, Alexandre",2001
Johnson2014,"Johnson, Kay",2014
brotchie09,"Brotchie, Amanda",2009
Dodd2014,"Dodd, Royce",2014
Powell2002,"Powell, Fiona",2002
Budd2009,"Budd, Peter S.",2009
Sperlich1991,"Sperlich, Wolfgang B.",1991
Buckley1994,"Buckley, Eugene",1994
Naess2017,"Næss, Åshild",2017
Schokkin2014,"Schokkin, Gerda Hendrike",2014
FirchowFirchow2008,"Firchow, Irwin B. and Firchow, Jacqueline",2008
Haddon1907,"Haddon, Alfred C.",1907
Anceaux1952,"Anceaux, Johannes Cornelis",1952
Healey1960,"Healey, Phyllis M.",1960
Miller2007,"Miller, Mark T.",2007
Waters1983,"Waters, Bruce E.",1983
ElkinND,"Elkin, A.P.",
Vesakoski2017,"Vesakoski, Outi",2017
Keen2018,"Keen, Ian",2018
Ono2019,"Ono, Hitomi",2019
Terrill2002,"Terrill, Angela",2002
Fox1970ArosiEng,"Fox, C. E.",1970
Capell1984,"Capell, Arthur",1984
Agcaoili2011,"Agcaoili, Aurelio Solver",2011
Schmitz1960,"Schmitz, Carl A.",1960
Thomas1980,"Thomas, Lynn L.",1980
Fagan1986,"Fagan, Joel L.",1986
Glennon2005NehanEng,"Glennon, John and Glennon, Arianna",2005
Tryon1969,"Tryon, Darrell T. and Dubois, Marie-Joseph",1969
alves:06,"Alves, Mark J.",2006
Parker1905AnEnglis,"Parker, Luther",1905
Rehg1979Ponapean,"Rehg, Kenneth L.",1979
Charpentier1974,"Charpentier, Jean-Michel",1974
Tharp1980ARhadeEn,"Tharp, James A. and ?uôn-ya, Y-Bham",1980
Jaspan1984Material,"Jaspan, M. A.",1984
pan2012,"Pan, Chia-jung",2012
MullerGotama2001Sundanes,"Müller-Gotama, Franz",2001
WilliamsvanKlinkenetal2003,"Klinken, Catharina Williams-van",2003
Sujadi2007,"Sujadi, Emmor H. N.",2007
DondorpShim2013,"Dondorp, Anne and Shim, Jae-Wook",2013 [1997]
Sohn1975,"Sohn, Ho-Min",1975
Streicher1982,"Streicher, J. F.",1982
Behrens2002YakanEng,"Behrens, Dietlinde",2002
Alpher1991,"Alpher, Barry",1991
Crowley1983Uradhi,"Crowley, Terry",1983
Morphy1983,"Morphy, Frances",1983
kee83,"Keen, Sandra",
Rivers1914,"Rivers, W. H. R.",1914
PawleyRoss1995,"Pawley, Andrew and Ross, Malcolm",1995
Fischer1963,"Fischer, Hans",1963
janowski2007a,"Janowski, Monica",2007
rutherford1998a,"Rutherford, Danilyn",1998-06
guiart1958a,"Guiart, Jean",1958
guiart2013a,"Guiart, Jean",2013
nayacakalou1957a,"Nayacakalou, R.R.",1957
miller1975a,"Miller, Ingrid",1975
yoshioka1988a,"Yoshioka, Masanori",1988
Robson1987,"Robson, S. O.",1987
Lane1961,"Lane, Robert B.",1961
harding1970cultures,"Harding, T.G. and Wallace, B.J.",1970
Durrad1940,"Durrad, W. J.",1940
Bowden1983,"Bowden, Ross",1983
Hicks1984,"Hicks, David",1984
Wedgwood1959,"Wedgwood, Camilla H.",1959
Lane1958,"Lane, Robert and Lane, Barbara",1958
Ray1892,"Ray, Sidney H.",1892
Capell1938,"Capell, A.",1938
rio2007a,"Rio, Knut Mikjel",2007
funabiki2012a,"Funabiki, Takeo",2012
rubinstein1978a,"Rubinstein, Robert Lawrence",1978
henri2011a,"Henri, Agnès",2011
leblic2004a,"Leblic, Isabelle",2004
morey2010a,"Morey, Stephen",2010
Groves1958,"Groves, Murray",1958
Forth1993,"Forth, Gregory",1993
Forth1990,"Forth, Gregory",1990
rynkiewich2012soul,"Rynkiewich, M.",2012
BergKingemann2010,"van den Berg-Klingeman, Lydia and van den Berg, René",2012
guiart1964a,"Guiart, Jean",1964-01
bouchery2012a,"Bouchery, Pascal and Sangtam, Lemlila",2012
krifka2017a,"Krifka, Manfred","July 10-15, 2017 2017"
jolly1994a,"Jolly, M.",1994
hess2009a,"Hess, Sabine",2009
hogbin1964a,"Hogbin, Ian",1964-06
scheffler1965choiseul,"Scheffler, H.W.",1965
GeorgeND,"George, Pakoa E. S.",
s:Reesink:Sougb,"Reesink, Ger P.",2002
Nancarrow2014,"Nancarrow, Cassy",2014
Kalpram2017,"Kalpram, Marinette and Kalpram, Joel",2017
Bauer1993,"Bauer, Winifred (with William Parker and Evans)., Te Kareongawai",1993
parke2003rotuma,"Parke, A.L.",2003
gatan1981ibanag,"Gatan, M. and Mendez, P.P. and Jocano, F.L.",1981
Pearce2015,"Pearce, Elizabeth",2015
nash2016,"Nash, David and Tukumba, Maggie and Lawrence, Dudley",2016
Dixon1991,"Dixon, Robert M.W.",1991
VanPuttenPC,"Putten, Saskia Van",2018
ShioharaPC,"Shiohara, Asako",2018
GuntsetsegPC,"Guntsetseg, Dolgor",2018
BergqvistPC,"Bergqvist, Henrik",2018
MansfieldPC,"Mansfield, John",2018
KashimaPC,"Kashima, Eri",2018
KoguraPC,"Kogura, Norikazu",2018
KurabePC,"Kurabe, Keita",2018
EvansPC,"Evans, Nicholas",2018
auslan,,
Patz2002,"Patz, Elisabeth",2002
gerstner2018grammar,"Gerstner-Link, Claudia",2018
van1997korowai,"Van Enk, Gerrit J and De Vries, Lourens",1997
edopisource,,
sorokina_slovar_2001,"Sorokina, I. P. and Bolina, D. S.",2001
sorokina_eneckij_2009,"Sorokina, I. P. and Bolina, D. S.",2009
savatkova_slovar_2008,"Savatkova, A. A.",2008
abramova_slovar_1990,"Abramova, A. A. and Galkin, I. S. and Efremov, A. S. and Zainieva, G. I. and Ivanov, I. G. and Isanbaev, N. I. and Patrušev, G. S. and Savatkova, A. A.",1990
kettunen_livisches_1938,"Kettunen, Lauri",1938
kosterkina_slovar_2001,"Kosterkina, N. T. and Momde, A. Č. and Ždanova, T. Û.",2001
pelto_individualism_1962,"Pelto, Pertti J.",1962
bergsland_aarjelsaemien-daaroen_1993,"Bergsland, Knut and Magga, Lajla Mattson",1993
sammallahti_sami-suoma_1989,"Sammallahti, Pekka",1989
sammallahti_sami-suoma-sami_1993,"Sammallahti, Pekka",1993
moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021,"Moshnikoff, Jouni and Moshnikoff, Satu",2021
fu-lab_russko-gornomarijskij_2020,FU-lab,2020
ul_livonian_institute_liv-ee-lv_nodate,"Institute, UL Livonian",
Meszaros_2001,"Mészáros, Edit",2001
Zaiceva_2010,"Zaiceva, Nina",2010
Zaiceva_Mullonen_2007,"Zaiceva, Nina and Mullonen, Irma",2007
ErtSz,Arcanum,2022
Papp_Jakab_1993,"Papp, István and Jakab, László",1993
EKSS,"Instituut, Eesti Keele",2022
EFI,"Instituut, Eesti Keele",2022
WogWb,,2013
Karjalainen_1913,"Karjalainen, K. F.",1913
DeWoS,"Steinitz, Wolfgang",1966
URS,"Kirillova, L. Е.",2008
KRS,"Besnosikova, А. М. and Ajbabina, Е. А. and Kosnyreva, R. I.",2000
Teresenko_1965,"Tereŝenko, N. М.",1965
meszaros_mordvin_2001,"Mészáros, Edit",2001
Russko-marijskij_slovar,"Lab, F-U",
SMJ,,1990
Arnaud_1968,"Arnaud, Expedito Coelho",1968
Silvia_1995,"Silvia, Márcio",1995
Thomas_1971,"Thomas, David J.",1971
carvalho_birchall_ptg_2022,"Carvalho, Fernando O. de and Birchall, Joshua",2022
thompson_ache_2019,"Thompson, Warren",2019
khalilov_archi_2015-1,"Khalilov, Madzhid and Lange, Stefan",2015
khalilov_bezhta_2015-1,"Khalilov, Madzhid and Lange, Stefan",2015
noauthor_talennet_nodate,,
madhava_menon_encyclopaedia_1996-1,"Madhava Menon, T. and Sivathanu, C. and Prasanth, K. P.",1996
banks_malay_1978,"BANKS, DAVID J",1978
noauthor_dictionnaire_197,,197
shashi_encyclopaedia_1994-1,"Shashi, Shyam Singh",1994
landin_kinship_1989,"Landin, R. M.",1989
madhava_menon_encyclopaedia_1996-2,"Madhava Menon, T. and Sivathanu, C. and Prasanth, K. P.",1996
58868,"Geerts, P.",1970
asf_auslan_aust1271,"Hodge, Gabrielle",
476215,"Holton, Gary",this volume
palmer_1997,"Palmer, Blair D.",1997
williams_1936,"Williams, Francis Edgar",1936
14965,"Salas Reyes, Vicente",1968
141699,"Himmelmann, Nikolaus P.",2001
139817,"Lynch, John and Tepahae, Philip",2001
marck_1996,"Marck, Jeffrey",1996
158324,"Hercus, Luise A.",1994
97023,"François, Alexandre",2002
ross_1996,"Ross, Malcolm D.",1996
163659,"Fox, C. E.",1970
311166,"Capell, Arthur and Layard, J.",1980
472332,"Schulte Nordholt, R. G.",1981
vanputten_2019,"van Putten, Saskia",
89190,"Deacon, Bernard A.",1934
deacon_1934,"Deacon, Bernard A.",1934
crowley_2006,"Crowley, Terry",2006
Naess_2017,"Næss, Åshild",2017
13534,"Stokhof, W. A. L. and Saleh-Bronkhorst, Lia",1980
18369,"Lincoln, Peter Craig",1976
lane_1961,"Lane, Robert B.",1961
316099,"Bowern, Claire",
janowski_2007,"Janowski, Monica",2007
pearson_1931,"Pearson, E. W. Chinnery",1931
unknown10_no_date,unknown10,no date
rutherford_1998,"Rutherford, Danilyn",1998
budd_2009,"Budd, Peter S.",2009
121232,"Dempwolff, Otto",1909
Evans2016bgw,"Evans, Nicholas",2016
elkins_1984,"Elkins, Richard E. and Hendrichson, Gail R.",1984
112121,"Duhé, Dale and Duhé, Linda",1996
79195,"Laycock, Donald C.",2003
56723,"Thambiah, Shanthi",2007
153741,"Blake, Barry J.",2003
155236,"Grimes, Charles E.",1991
guiart_1958,"Guiart, Jean",1958
18380,"Headland, Thomas N. and Healey, Alan",1974
317904,"Wolff, John Ulrich",1972
138026,"Healey, Phyllis M.",1960
89467,"Lawrence, A. E.",1933
unknown7_no_date,unknown7,no date
kroeber_no_date,"Kroeber, A. L.",no date
81186,"Scebold, Robert A.",2003
54796,"von Preissig, Edward R.",1918
143714,"White, Geoffrey M. and Kokhonigita, Francis and Pulomana, Hugo",1988
141638,"Caughley, Ross C.",2000
goodenough_1990,"Goodenough, W. H. and Sugita, H.",1990
51236,"Kerr, Harland B.",1988
krifka_2017,"Krifka, Manfred",2017
447499,"von Prince, Kilu",2015
Evans2016dalabon,"Evans, Nicholas",2016
43663,"Luo, Yongxian",1999
132965,"Tryon, D. T.",1967
1914,"Terrill, Angela",2002
KeenDhuwalDhuwala2018,"Keen, Ian",2018
315369,"Elkin, A.P.",
dixon_1983,"Dixon, R. M. W.",1983
waters_no_date,"Waters, Bruce",no date
439087,"Atchison, Martin B.",1995
duna_duna1248,"San Roque, Lila",2008
moyle_2011,"Moyle, Richard M.",2011
1654,"Kite, Suzanne and Wurm, Stephen",2004
tshering_2013,"Tshering, Karma",2013
52375,"Tryon, Darrell T.",1976
27581,"Franklin, Karl J.",1971
158579,"Capell, Arthur",1962
guiart_2013,"Guiart, Jean",2013
lindsey_2017,"Lindsey, Kate",2017
Barth2017b,"Barth, Wolfgang",2017
nayacakalou_1957,"Nayacakalou, R. R.",1957
VesakoskyFinnish2017,"Vesakosky, Outi",2017
ludvigson_1989,"Ludvigson, Tomas",1989
68637,"Capell, Arthur",1984
stokhof_1980,"Stokhof, W. A. L. and Saleh-Bronkhorst, Lia",1980
KeenGanggalida2018,"Keen, Ian",2018
129547,"Eades, Domenyk",2005
miller_1975,"Miller, Ingrid",1975
ono_2019,"Ono, Hitomi",2019
powell_2002,"Powell, Fiona",2002
everett_2012,"Everett, Daniel",2012
durrad_1940,"Durrad, W. T.",1940
49601,"Donohue, Mark and San Roque, Lila",2004
harding_1970,"Harding, Thomas G.",1970
82814,"Goudswaard, Nelleke",2005
Evans2016idi,"Evans, Nicholas and Nébni, Jimmy",2016
116668,"de Josselin de Jong, Jan Petrus Benjamin",1947
108643,"Yamada, Yukihiro",1966
33749,"de Vries, Lourens J.",2004
31209,"Verheijen, Jilis A. J.",1986
unknown3_no_date,unknown3,no date
128069,"Burenhult, Niclas",2005
robson_1987,"Robson, S. O.",1987
jinghpaw,unknown,
unknown_,unknown source,
haddon_1907,"Haddon, Alfred C.",1907
303991,"Pawley, Andrew and Bulmer, Ralph",2011
VisserKalamang2017,"Visser, Eline",2017
128937,"Afable, Patricia Okubo",1989
forth_1990,"Forth, Gregory",1990
72902,"Nevermann, Hans",1939
buckley_1994,"Buckley, Eugene",1994
Evans2016kayadild,"Evans, Nicholas",2016
guntsetseg_2019,"Dolgor Guntsetseg, Elena Skribnik",
64260,"Senft, Gunter",1986
115492,"Blust, Robert",2003
landtman_1927,"Landtman, Gunnar",1927
95347,"Baird, Louise",2008
kogi_cogu1240,unknown,
101683,"Dutton, Tom",2003
schmitz_1960,"Schmitz, Carl",1960
Evans2016komnzo,"Evans, Nicholas",2016
65487,"Baxter, Alan N. and de Silva, Patrick",2004
ku_waru_boun1245,"Rumsey, Alan",
25770,"Fingleton, J. S.",1986
unknown_no_date,unknown source,no date
2433,"Sommer, Bruce",2006
23140,"Chinnery, E. W. P.",1930
thompson_1988,"Thompson, David A.",1988
127160,"Keesing, Roger M.",1975
47028,"Lindstrom, Lamont",1986
bowden_1983,"Bowden, Ross",1983
91175,"Draper, Norm and Draper, Sheila",2002
32420,"Nishiyama, Kunio and Kelen, Herman",2007
chung_2005,"Chung, Ying Shing Anthony",2005
51042,,1996
mcknight_1999,"McKnight, David",1999
Barth2017latin,"Barth, Wolfgang",2017
34741,"Fox, Charles Elliot",1974
471059,"Lacrampe, Sébastien",2014
47029,"Lynch, John",1977
funabiki_2012,"Funabiki, Takeo",2012
early_1994,"Early, Robert",1994
300875,"Harvey, Mark",2001
yu_2007,"Yu, Defen",2007
12680,"Hamel, Patricia J.",1994
159206,"Paton, W. F.",1973
chinnery_1931,"Chinnery, E. W. Pearson",1931
312062,"Hudson, Alfred B.",1967
85396,"Guérin, Valérie M. P. R.",2008
138072,"Drabbe, Peter",1950
308706,"Gargett, Andrew",2011
309421,"Stebbins, Tonya N.",2011
wedgewood_1959,"Wedgewood, Camilla H.",1959
113198,"Hildebrandt, Kristine A.",2004
hicks_1984,"Hicks, David",1984
bauer_1993,"Bauer, Winifred and Parker, William and Evans, Te Kareongawai",1993
47396,"Crowley, Terry",2006
olsson_2017,"Olsson, Bruno",2017
rynkiewich_2012,"Rynkiewich, Michael",2012
549351,"Healey, David Stephen",2013
Barth2017c,"Barth, Danielle",2017
63712,"Dol, Philomena Hedwig",1999
jones_1998,"Jones, Alan A.",1998
321062,"Elbert, Samuel H.",no date
43178,"Chung, Ying Shing Anthony",2005
rivers_1914,"Rivers, W. H. R.",1914
69526,"Gravelle, Gilles",2011
thomas_1980,"Thomas, Lynn L.",1980
118332,"Van Der Mark, Sheena",2007
129384,"Fagan, Joel L.",1986
odango_2015,"Odango, Emerson",2015
20301,"Codrington, Robert and Palmer, Jim",1896
groves_1958,"Groves, Murray",1958
25827,"van den Berg, René and Bachet, Peter",2006
van_2010,"van den Berg-Klingeman, Lydia and van den Berg, René",2010
31845,"Brownie, John and Brownie, Marjo",2007
161233,"François, Alexandre",2001
KalpramKalpramNafsan2017,"Kalpram, Marinette and Kalpram, Joel",2017
forth_1993,"Forth, Gregory",1993
303389,"Dimock, Laura Gail",2009
469059,"Chowning, Ann and Goodenough, Ward H.",2016
SiegelNama2017,"Siegel, Jeff",2017
sperlich_1991,"Sperlich, Wolfgang B.",1991
kashima_2018,"Kashima, Eri",2018
318787,"Vaa, Anders",2013
73107,"Fischer, Hans",1968
137204,"Glennon, John and Glennon, Arianna",2005
161128,"Williams, Francis Edgar",1936
Evans2016nen,"Evans, Nicholas and Nébni, Jimmy",2016
evans_2018,"Evans, Nicholas",2018
143939,"Tryon, Darrell T. and Dubois, Marie-Joseph",1969
39695,"Crowley, Terry",2006
musgrave_2007,"Musgrave, Jill",2007
104176,"Tsukamoto, Akihisa",1988
rio_2007,"Rio, Knut Mikjel",2007
guiart_1964,"Guiart, Jean",1964
nehrbass_2012,"Nehrbass, Kenneth",2012
unknown6_no_date,unknown6,no date
318711,"McGregor, William",2011
lane_1958,"Lane, Robert and Barbara",1958
fox_1986,"Fox, James J.",1986
318883,"Mellow, Greg",2014
103855,"Alves, Mark John",2006
leblic_2004,"Leblic, Isabelle",2004
31302,"Egli, Hans",1990
walleser_1913,"Walleser, Salvator",1913
gerda_2014,"Schokkin, Gerda Hendrike",2014
crowley_1988,"Crowley, Terry",1988
82207,"Parker, Luther",1905
70445,"Rayner, Ernest Adolphus",1923
himmelmann_2001,"Himmelmann, Nikolaus P.",2001
unknown5_no_date,unknown5,no date
82918,"Rehg, Kenneth L.",1979
rehg_1979,"Rehg, Kenneth L.",1979
324292,"Charpentier, Jean-Michel",1974
pawley_2006,"Pawley, Andre",2006
don_2019,"Daniels, Don",2019
68013,"Elbert, Samuel H.",1974
541124,"Tharp, James A. and ?uôn-ya, Y-Bham",1980
EnneverRaga2018,"Ennever, Thomas",2018
yoshioka_1988,"Yoshioka, Masanori",1988
71051,"Buse, Jasper and Taringa, Raututi",1996
79435,"Jaspan, M. A.",1984
475127,"Choi, Yun Jung Hannah",2015
465833,"Sudarsono, P. D.",2002
111350,"Firchow, Irwin B. and Firchow, Jacqueline",2008
parke_no_date,"Parke, Aubrey L.",no date
319882,"Waterhouse, J. H. L. and Jones, L. M.",1949
EvansRussian2018,"Evans, Nicholas",2018
jolly_1994,"Jolly, Margaret",1994
309525,"Pan, Chia-jung",2012
bouchery_2012,"Bouchery, Pascal and Sangtam, Lemlila",2012
51878,"Roddy, Kevin M.",2007
johnson_2014,"Johnson, Kay",2014
100639,"Kelly, Barbara",2004
41979,"Crowley, Terry",2000
320303,"Fricke, Hanna",2014
27764,"Capell, Arthur","1935, 1936, 1936, 1936, 1937"
36690,"Capell, Arthur",1969
reesink_2002,"Reesink, Ger P.",2002
thieberger_2004,"Thieberger, Nicholas A.",2004
26034,"Parker, G.J.",1970
110693,"Taber, Mark",1993
312803,"Nehrbass, Kenneth",2012
vanTongerenSuki2017,"van Tongeren, Charlotte",2017
47326,"Müller-Gotama, Franz",2001
ennever_2018,"Ennever, Thomas",2018
EnneverSungwadaga2018,"Ennever, Thomas",2018
EnneverSungwadia2018,"Ennever, Thomas",2018
EnneverSungwaloge2018a,"Ennever, Thomas",2018
EnneverSungwaloge2018b,"Ennever, Thomas",2018
EnneverSungwaloge2018c,"Ennever, Thomas",2018
EnneverSungwaloge2018d,"Ennever, Thomas",2018
EnneverSungwaloge2018e,"Ennever, Thomas",2018
300556,"Henri, Agnès",2011
xue_2018,"Xue, Wendi",2018
RossTakia2017,"Ross, Malcolm",2017
303863,"Moyle, Richard M.",2011
27644,"Crowley, Susan Smith",1986
rubinstein_1978,"Rubinstein, Rbert Lawrence",1978
ray_1892,"Ray, Sidney H.",1892
capell_1938,"Capell, Arthur",1938
unknown8_no_date,unknown8,no date
125654,"Morris, Cliff",1984
52359,"Klinken, Catharina Williams-van",2003
143591,"Blust, Robert",2003
107761,"Gaby, Alice Rose",2006
301176,"Beaumont, Clive H.",1979
308634,"Brotchie, Amanda",2009
44453,"Grace, George William",1976
sujadi_2007,"Sujadi, Emmor H. N.",2007
unknown11_no_date,unknown11,no date
476792,"Lichtenberk, Frantisek",2008
302646,"Shnukal, Anna",1988
jackson_1983,"Jackson, Jean E.",1983
179892,"Donohue, Mark",2000
sil_no_date,SIL,no date
DursunTurkish2018,"Dursun, Sıdıka",2018
morey_2010,"Morey, Stephen",2010
29903,"Ranby, Peter",1980
blust_1977,"Blust, Robert A.",1977
400013,"Pearce, Elizabeth",2015
62308,"Crowley, Terry",1999
314797,"Crowley, Terry",
87810,"Hogan, David W. and Pattemore, Stephen W.",1988
105009,"Næss, Åshild and Hovdhaugen, Even",2011
layard_1942,"Layard, John",1942
scheffler_no_date,"Scheffler, Harold W.",no date
SchnellVeraa2017,"Schnell, Stefan",2017
hess_2009,"Hess, Sabine",2009
96315,"Nordlinger, Rachel",1998
319249,"Jones, Barbara",2011
NashWarlpiri2016,"Nash, David",2016
120945,"Blake, Barry J.",
ohagan_omagua_2019,"O’Hagan, Zachary",2019
valentino_katawian_2019,"Valentino, Leonor",2019
ferreira-alve_ikpeng_2019,"Ferreira-Alves, Ana Carolina and Chagas, Angela Fabíola Alves and BarbosaII, Leonard Jéferson Grala",2019
nogueira_tuparí_2019,"Nogueira, Antônia Fernanda Souza and Galucio, Ana Vilacy and Soares-Pinto, Nicole and Singerman, Adam Roth",2019
Rivière_1969,,
QuinnWT2017,"Quinn, Kyla",2017
301236,"Blake, Barry J. and Clark, Ian D. Krishna-Pillay Sharnti H.",1998
131545,"Fischer, Hans",1963
59165,"Miller, Mark T.",2007
elkins_1968,"Elkins, Richard E. Elkins",1968
466315,"Dondorp, Anne and Shim, Jae-Wook",2013 [1997]
hogbin_1964,"Hogbin, Ian",1964
140871,"Sohn, Ho-Min",1975
102411,"Anceaux, Johannes Cornelis",1952
EnneverXalangi2018,"Ennever, Thomas",2018
106213,"Grace, George William",1975
xibe_xibe1242,"Kogura, Norikazu",
98847,"Streicher, J. F.",1982
477623,"Ray, Sidney H.",1907
134664,"Behrens, Dietlinde",2002
4113,"Breen, Gavan and Blake, Barry J.",2007
164698,"Breen, Gavan",2004
levinson_2006,"Levinson, Stephen C.",2006
GregorYelmek2017,"Gregor, Tina",2017
306270,"Dixon, Robert M.W.",1991
151393,"Alpher, Barry",1991
143306,"Sharpe, Margaret",1998
keen_1983,"Keen, Sandra",1983
56659,"Hirtzel, Vincent",2010
58848,"Fitzsimons, Matthew",1989
Khalilov_Lange_2015,"Khalilov, Madzhid and Lange, Stefan",2015
Lee_Harvey_1973,"Lee, Kwang-Kyu and Harvey, Youngsook Kim",1973
FlyingOyster_2020,"Oyster, Flying",2020
8촌까지의친척호칭_2014,,2014
Chen_2019,"Chen, Chen",2019
Lang_1973,"Lang, Adrianne",1973
Meggitt_1964,"Meggitt, M. J.",1964
Ramsey_1975,"Ramsey, Evelyn M.",1975
Vincent_2003,"Vincent, Alex",2003
Roberts_2016,"Roberts, John R",2016
Marks_1969,"Marks, Doreen",1969
Schneider_2012,"Schneider, Katharina",2012
Frantz_Frantz_1962,"Frantz, Chester and Frantz, Marjorie",1962
Syuntarô_2006,"Syuntarô, Tida",2006
Jacobsen_1992,"Jacobsen, Michael",1992
Blackwood_1978,"Blackwood, Beatrice",1978
Loughnane_2009,"Loughnane, Robyn",2009
Newman_1965,"Newman, Philip L",1965
Bartlett,"Bartlett, H. K.",
Callister_2005,"Callister, Sandra",2005
King_1901,"King, Copland",1901
McGuckin_McGuckin_1992,"McGuckin, Ed and McGuckin, Catherine",1992
Bradshaw_2022,"Bradshaw, Robert L",2022
Barker_2008,"Barker, John",2008
Farr_Farr_2008,"Farr, James and Farr, Cynthia",2008
Clunn_Kolia_1977,"Clunn, S. P. and Kolia, J. A.",1977
Brown_1986,"Brown, Herbert A.",1986
Olson_1974,"Olson, Michael L",1974
Pence_1974,"Pence, Alan R",1974
Hotz_Stringer_1974,"Hotz, Joyce and Stringer, Mary",1974
Loving_1974,"Loving, Richard",1974
Bruce_1974,"Bruce, Leslie P.",1974
Rehburg_1974,"Rehburg, Judith",1974
Whitehead_2004,"Whitehead, Carl R",2004
Petterson_1999,"Petterson, Robert",1999
Petterson_Petterson_1992,"Petterson, Robert and Petterson, Deborah",1992
Kerr_1972,"Kerr, Harland B",1972
Allen_Latu_Koesana_Tsirumits_1982,"Allen, Jerry and Latu, Marcello and Koesana, Maurice and Tsirumits, Maurice",1982
Telban_1998,"Telban, Borut",1998
Rijk_2007,"Rijk, Rudolf P G de",2007
Trask_2008,"Trask, R L",2008
Aulestia_White_1992,"Aulestia, Gorka and White, Linda",1992
Silverman_1993,"Silverman, Eric Kline",1993
Holz_2023,"Holz, Christoph",2023
Mead_2018,"Mead, Margaret",2018
Blust_2021,"Blust, Robert",2021
Boettger_2015,"Boettger, Juliane",2015
Singarimbun_2024,"Singarimbun, Masri",2024
Beatty_1992,"Beatty, Andrew",1992
Nadel_1947,"Nadel, S. F.",1947
Black_Black_1971,"Black, Keith and Black, Elizabeth",1971
Stevenson_1984,"Stevenson, Roland C.",1984
Smits_2017,"Smits, Heleen",2017
Veit_Schneider-Blum_2024,"Veit, Nataliya and Schneider-Blum, Gertrud",2024
Ismail_2015,"Ismail, Khaleel",2015
Armbruster_1965,"Armbruster, Charles Hubert",1965
Neudorf_2014,"Neudorf, Susanne",2014
Seligman_Seligman_1932,"Seligman, C G and Seligman, Brenda Z",1932
Blackings_2009,"Blackings, Mairi John",2009
